,MKTbond,MKTbond_vw,DRF,LRF,CRF,VIX,UNC,MKT,SMB,HML,TERM,DEF
2002-07-31,0.004339167091834076,0.004053321709027075,0.004117015473818374,0.0026621343543231936,0.004406678083056062,0.2610235929267396,0.0008079710000000739,-0.0819,-0.0633,-0.0351,0.0288,-0.020900000000000002
2002-08-31,0.032356854710668466,0.040412997238523415,0.004117015473818374,0.024376476963647996,0.004406678083056062,0.019044665426143862,-0.002226392000000077,0.005,-0.0128,0.0301,0.045,-0.0011999999999999997
2002-09-30,0.00748006922910564,0.0033630013236999935,0.004117015473818374,0.0016251887083301641,0.004406678083056062,0.21599262772340816,-0.00027207099999992934,-0.10339999999999999,0.0305,0.0126,0.0403,-0.0087
2002-10-31,-0.004138846120143166,0.0030080113648851122,0.004117015473818374,0.021579195374215904,0.004406678083056062,-0.2154194893649344,-0.00040522099999995564,0.0784,-0.0429,-0.037599999999999995,-0.030799999999999998,0.0053999999999999986
2002-11-30,0.03698397959361732,0.041481073202583284,0.004117015473818374,0.035014600880197644,0.004406678083056062,-0.11689144062277702,0.009478101999999877,0.0596,0.0294,-0.0116,-0.0134,0.0252
2002-12-31,0.019097438318784733,0.02123848421455612,0.004117015473818374,0.0024343761600078085,0.004406678083056062,0.040727303244850854,0.01485164800000005,-0.0576,0.0055000000000000005,0.021099999999999997,0.049600000000000005,-0.014600000000000002
2003-01-31,0.02402814240864753,0.021539488168385724,0.004117015473818374,0.065118465136888,0.004406678083056062,0.08909850322453043,0.016582667999999967,-0.025699999999999997,0.0070999999999999995,-0.0079,-0.0116,0.0127
2003-02-28,0.015499356136878174,0.017180889784532992,0.004117015473818374,-0.001854610967209519,0.004406678083056062,-0.04940650984144634,0.009333640000000032,-0.018799999999999997,-0.0087,-0.013600000000000001,0.032,-0.006499999999999999
2003-03-31,0.012595636585553023,0.01148445976411906,0.004117015473818374,-0.008990954059388873,0.004406678083056062,-0.016199782512038415,-0.000404760000000004,0.0109,0.0077,-0.021099999999999997,-0.014499999999999999,0.0055
2003-04-30,0.03709088968550297,0.03539195078472646,0.004117015473818374,0.004221096226784184,0.004406678083056062,-0.27238424143958617,0.011066604000000035,0.0818,0.011399999999999999,0.012199999999999999,0.0092,0.0127
2003-05-31,0.026912099189420065,0.02871691281677486,0.004117015473818374,0.02590523328464564,0.004406678083056062,-0.08203676785596889,-0.015958280999999963,0.0605,0.0478,0.006999999999999999,0.058300000000000005,-0.0121
2003-06-30,0.013520891554469372,0.009139570644642516,0.004117015473818374,0.0006278098390924696,0.004406678083056062,0.0025681122841592296,-0.01081779000000005,0.014199999999999999,0.0165,0.0014000000000000002,-0.0164,0.0011000000000000003
2003-07-31,-0.02397415005320396,-0.03129921510695235,0.004117015473818374,-0.003380120625159544,0.004406678083056062,-0.0015369203863704302,0.00022632300000002825,0.0233,0.044000000000000004,-0.015300000000000001,-0.0989,0.010099999999999998
2003-08-31,0.0029814844102681055,0.007426803157077321,0.021313889512214818,-0.0072292205214367165,0.023568914915591675,-0.04412522424069055,-0.0033744610000000508,0.0233,0.023700000000000002,0.016399999999999998,0.0159,0.005299999999999999
2003-09-30,0.03272554741919563,0.033632567057944776,0.027930912526124646,0.01031974857879988,0.015113265683605008,0.21953839703874697,-0.00016858399999997165,-0.0124,0.005699999999999999,0.0014000000000000002,0.0538,-0.004300000000000005
2003-10-31,0.004256559651345791,0.0012040706877775257,0.0063656710305358384,0.0020672716740652865,0.047655930108340294,-0.2913732012304092,-0.007695244999999962,0.0608,0.0263,0.022099999999999998,-0.028999999999999998,0.008
2003-11-30,0.011217851660535239,0.009622401119212795,0.013155891858249023,0.004466541489001989,0.008512911134364967,0.013664553300738274,-0.013256813000000034,0.013500000000000002,0.0231,0.0172,-0.0034000000000000002,0.0079
2003-12-31,0.010864147210368208,0.012819297744425332,0.015673574550780264,-0.00479323347647833,0.025292573625777873,0.12193626276533064,-0.012508096999999996,0.0429,-0.025099999999999997,0.0151,0.013099999999999999,0.0
2004-01-31,0.0147677333083012,0.011985905559049216,0.0112040079663572,0.00568260789564211,0.015741247747039444,-0.09175315970383806,-0.0025030889999999584,0.0215,0.0246,0.0242,0.018000000000000002,0.0
2004-02-29,0.007307475482782133,0.006833622524223441,-0.0012923844603089938,0.008209750970555905,-0.017940859705849802,-0.12507510974136543,-0.0016312770000000976,0.013999999999999999,-0.0092,0.0095,0.0224,-0.0052
2004-03-31,0.008455088825306196,0.008645898767268389,0.003083581389438988,0.004808656813777546,-0.00597534742624391,0.150515433104794,0.0042079530000000975,-0.0132,0.021099999999999997,0.0023,0.0132,-0.0023
2004-04-30,-0.019094501562751262,-0.02377310312026853,-0.02085408689473293,-0.0015554578056750222,0.03202031137097809,0.02688176637348548,0.0010354790000000058,-0.0182,-0.0206,-0.0323,-0.0596,0.005399999999999995
2004-05-31,-0.00945552356487829,-0.008733324689936175,-0.002484585898460823,-0.007575040403472634,-0.0074348104300759185,-0.09831300067206482,0.007954693999999929,0.0118,-0.004,-0.0018,-0.0057,-0.002
2004-06-30,0.008971737680686853,0.0062935561639884275,0.00942388153258503,0.0028198518746284213,0.015519828762402548,-0.07483869983303874,0.0069224570000000485,0.018600000000000002,0.0252,0.0121,0.0113,-0.0028000000000000004
2004-07-31,0.01080690771818367,0.01031844966100699,0.0069515890235613284,-0.0015235440348104249,-0.0017784853982282548,0.06834027418468624,-0.009371455000000029,-0.0404,-0.0292,0.0322,0.014499999999999999,0.0029
2004-08-31,0.021949799555739995,0.02257474510764496,0.023196676511786807,-0.0046145606222371335,-0.005732215399286049,-0.001958207152010179,-0.008701912000000034,0.0008,-0.0118,0.0108,0.038400000000000004,0.0
2004-09-30,0.00848902994937507,0.007270520800192097,0.014784806860121865,0.006744334650723976,0.009095816136907952,-0.12753432401112838,0.004521452999999953,0.016,0.0322,-0.0005,0.008499999999999999,0.0005000000000000004
2004-10-31,0.013370781402887217,0.013869711570031149,0.0034815583651581893,0.004455761153853516,0.03336540142182076,0.2196402002744648,0.011080397000000075,0.014199999999999999,0.0015,-0.0026,0.0143,0.0010000000000000009
